2025-02-14 00:45:28-EID[]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Login]-Login attempt for admin@mvsdlab.com from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:28-EID[]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Login]-Querying admin table for admin@mvsdlab.com
2025-02-14 00:45:28-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Generate EID]-Generated EID 227817-MVSDLAB for user admin@mvsdlab.com
2025-02-14 00:45:28-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Login]-User admin@mvsdlab.com logged in successfully from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:37-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Auth Check]-Authentication check successful for admin@mvsdlab.com from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:39-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Fetch Notifications]-Fetched notifications from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:39-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Auth Check]-Authentication check successful for admin@mvsdlab.com from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:39-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Fetch Notifications]-Fetched notifications from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:41-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Fetch Dashboard Data]-Fetching dashboard data for admin@mvsdlab.com from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:41-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Fetch Dashboard Data]-Dashboard data fetched successfully for admin@mvsdlab.com from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
2025-02-14 00:45:42-EID[227817-MVSDLAB]-SID[e37ef1bd-60e0-45db-aa6b-6d56ce12363b]-[INFO] TASK[Fetch Dashboard Data]-Fetching dashboard data for admin@mvsdlab.com from IP 123.200.7.107 with User-Agent Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0
